filename	comments	StepSize	DelayTime	volts	CV-tron	IonGauge	Temperature	NEON HV	PMT HV	c0	dc0	c1	dc1	s1	ds1	c2	dc2	s2	ds2	c4	dc4	s4	ds4	mag2	angle2	mag4	angle4	SSres	 R ²
/home/pi/Data/2018-04-29/POL2018-04-29_155846.dat	vac/atmo	1	30	3.990000	9.00E+02	3.82E-03	33.700001	1800.577112	-1006.121762	0.696284	0.002680	0.000198	0.002075	0.000195	0.000139	-0.002805	0.000218	-0.052716	0.000171	0.294400	0.000198	-0.047859	0.000194	0.052791	-1.623958	0.298265	-0.161156	0.004207	0.999771
/home/pi/Data/2018-04-29/POL2018-04-29_155953.dat	vac/atmo	1	30	3.990000	8.83E+02	3.82E-03	33.700001	1801.645748	-1006.274424	0.697760	0.002822	0.000194	0.002911	0.000199	0.000139	-0.002405	0.000218	-0.052461	0.000172	0.294825	0.000196	-0.047062	0.000197	0.052516	-1.616616	0.298558	-0.158292	0.003860	0.999790
/home/pi/Data/2018-04-29/POL2018-04-29_160059.dat	vac/atmo	1	30	3.990000	8.83E+02	3.82E-03	33.700001	1801.569417	-1005.816437	0.698287	0.002948	0.000196	0.002914	0.000198	0.000139	-0.003384	0.000216	-0.052284	0.000176	0.295344	0.000196	-0.047507	0.000198	0.052393	-1.635425	0.299140	-0.159488	0.004114	0.999777
/home/pi/Data/2018-04-29/POL2018-04-29_160206.dat	vac/atmo	1	30	3.990000	9.00E+02	3.82E-03	33.700001	1801.111430	-1005.816437	0.698485	0.002145	0.000196	0.003003	0.000191	0.000137	-0.002207	0.000214	-0.052638	0.000172	0.294574	0.000194	-0.047200	0.000193	0.052684	-1.612692	0.298331	-0.158880	0.003932	0.999786
/home/pi/Data/2018-04-29/POL2018-04-29_160324.dat	vac/atmo	1	30	1.000000	1.49E+00	3.82E-03	33.799999	-0.305325	-1004.824132	0.003139	-0.000163	0.000029	0.000022	0.000028	0.000020	-0.000142	0.000029	-0.000110	0.000028	0.000070	0.000029	0.000033	0.000028	0.000179	-2.483822	0.000077	0.440955	0.000116	0.100959
/home/pi/Data/2018-04-29/POL2018-04-29_160442.dat	vac/atmo	1	30	3.990000	2.97E-01	3.82E-03	33.799999	1800.119124	-1005.892769	0.691405	0.001064	0.000191	-0.000464	0.000197	0.000137	-0.003297	0.000214	-0.053208	0.000171	0.291570	0.000194	-0.048007	0.000194	0.053310	-1.632673	0.295496	-0.163185	0.006564	0.999636
/home/pi/Data/2018-04-29/POL2018-04-29_160558.dat	vac/atmo	1	30	3.990000	2.37E-01	3.82E-03	33.700001	1799.584806	-1005.663775	0.696703	0.002511	0.000197	0.002727	0.000199	0.000140	-0.002632	0.000219	-0.052488	0.000174	0.294550	0.000198	-0.047762	0.000197	0.052553	-1.620904	0.298398	-0.160752	0.004022	0.999781
/home/pi/Data/2018-04-29/POL2018-04-29_160715.dat	vac/atmo	1	30	3.990000	2.03E-01	3.82E-03	33.700001	1801.416755	-1005.434781	0.697846	0.002702	0.000194	0.002418	0.000196	0.000138	-0.002807	0.000216	-0.051859	0.000172	0.294892	0.000196	-0.047488	0.000194	0.051935	-1.624869	0.298691	-0.159663	0.003968	0.999784
/home/pi/Data/2018-04-29/POL2018-04-29_160832.dat	vac/atmo	1	30	3.990000	1.85E-01	3.82E-03	33.599998	1801.035099	-1005.511113	0.698326	0.002587	0.000198	0.003074	0.000198	0.000140	-0.002964	0.000219	-0.052269	0.000175	0.295028	0.000198	-0.047465	0.000199	0.052353	-1.627436	0.298822	-0.159516	0.003942	0.999786
/home/pi/Data/2018-04-29/POL2018-04-29_160948.dat	vac/atmo	1	30	3.990000	1.68E-01	3.82E-03	33.599998	1802.485391	-1005.587444	0.697723	0.001968	0.000196	0.002762	0.000199	0.000140	-0.003055	0.000219	-0.052249	0.000174	0.295038	0.000199	-0.047623	0.000196	0.052338	-1.629200	0.298857	-0.160032	0.004228	0.999770
